app_name,metascore,year
Ryse: Son of Rome,61,2014
Split/Second,79,2010
Disney TRON: Evolution,57,2010
Disney Alice in Wonderland,63,2010
Schrödinger’s Cat And The Raiders Of The Lost Quark,59,2014
Fenix Rage,75,2014
The Vanishing of Ethan Carter - Collector's Edition Upgrade,82,2014
The Vanishing of Ethan Carter,82,2014
Kraven Manor,58,2014
Starpoint Gemini 2,70,2014
Neverending Nightmares,68,2014
Outland,83,2014
Shadow Puppeteer,57,2014
SPACECOM,68,2014
Shadowrun: Dragonfall - Director's Cut,87,2014
J.U.L.I.A.: Among the Stars,71,2014
Battle Academy 2: Eastern Front,78,2014
To End All Wars,71,2014
Runers,68,2014
Train Fever,67,2014
Hatoful Boyfriend,68,2014
Hack 'n' Slash,73,2014
The Guild Gold Edition,82,2002
Lethal League,82,2014
Bravada,70,2014
Haunted,76,2012
Risen 3 - Titan Lords,65,2014
Five Nights at Freddy's,78,2014
Chess 2: The Sequel,62,2014
King's Bounty: Dark Side,73,2014
Space Hack,63,2005
Back to Bed,57,2014
Pure Pool,68,2014
The Sun at Night,59,2014
Eidolon,64,2014
Pineview Drive,58,2014
Lovely Planet,61,2014
Unrest,65,2014
Gods Will Be Watching,64,2014
UnEpic,68,2014
Only If,39,2014
OlliOlli,78,2014
Medieval II: Total War Kingdoms,85,2014
So Many Me,78,2014
Blood: One Unit Whole Blood,82,1998
Blood II: The Chosen + Expansion,72,1998
Light,49,2014
Quest for Infamy,63,2014
Abyss Odyssey,69,2014
Wayward Manor,41,2014
A Vampyre Story,75,2008
Terrian Saga: KR-17,83,2014
Whispering Willows,64,2014
4PM,41,2014
Railroad Pioneer,50,2003
Meridian: New World,43,2014
Shadow Ops: Red Mercury,61,2004
Soldiers: Heroes of World War II,77,2004
Battleplan: American Civil War,66,2014
Echelon,70,2001
Shovel Knight: Treasure Trove,85,2014
GRID Autosport,78,2014
Crimsonland,68,2014
SPINTIRES™,67,2014
Space Run,73,2014
The Incredible Adventures of Van Helsing II,77,2014
Qvadriga,72,2014
Rise of Nations: Extended Edition,89,2014
Concursion,66,2014
The Lost Crown,71,2008
Ionball 2: Ionstorm,70,2014
Freespace 2,91,2014
Crimzon Clover WORLD IGNITION,85,2014
Pandora: First Contact,68,2013
The Floor is Jelly,83,2014
Astebreed: Definitive Edition,86,2014
Salammbô: Battle for Carthage,77,2003
Wings Over Europe,62,2006
Murdered: Soul Suspect,59,2014
Bus Driver,61,2007
1001 Spikes,80,2014
Defiance,64,2014
Among the Sleep - Enhanced Edition,66,2017
Distant Worlds: Universe,81,2014
ibb & obb,83,2014
Watch_Dogs™,77,2014
FINAL FANTASY III,68,2014
Panzer Tactics HD,69,2014
A Story About My Uncle,73,2014
Wolfenstein: The New Order,81,2014
Transistor,83,2014
The Last Door - Collector's Edition,79,2014
Flockers™,66,2014
RollerCoaster Tycoon® 2: Triple Thrill Pack,74,2002
Always Sometimes Monsters,73,2014
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,71,2014
Memento Mori 2,65,2014
Iron Storm,69,2002
RUNNING WITH RIFLES,78,2015
Shadow Warrior (Classic),73,1997
Tesla Effect: A Tex Murphy Adventure,68,2014
The Impossible Game,64,2014
Al Emmo and the Lost Dutchman's Mine,77,2006
"Sir, You Are Being Hunted",63,2013
Eurofighter Typhoon,69,2001
DARK SOULS™ II,91,2014
Daylight,51,2014
Child of Light,77,2014
Trials Fusion™,80,2014
Rocko's Quest,41,2003
The Samaritan Paradox,75,2014
The Last Federation,72,2014
FRACT OSC,75,2014
Dracula 2: The Last Sanctuary,68,2001
Wargame: Red Dragon,78,2014
Descent 3,89,2014
Warlock 2: The Exiled,73,2014
Faces of War,67,2006
Praetorians,78,2003
Imperial Glory,69,2005
Black Mirror III,75,2011
Spate,61,2014
Moebius: Empire Rising,54,2014
Platformines,67,2014
Goat Simulator,62,2014
Gray Matter,72,2014
Escape Goat 2,76,2014
YAIBA: NINJA GAIDEN Z,49,2014
Expansion - Crusader Kings II: Rajas of India,80,2014
Ubersoldier II,62,2008
Call of Duty®: Ghosts,68,2014
Ether One,82,2014
Panzer Corps,80,2011
10 Second Ninja,72,2014
Nosferatu: The Wrath of Malachi,70,2003
Incoming Forces,67,2002
Year Walk,87,2014
Infested Planet,75,2014
Summoner,78,2001
Dragons and Titans,43,2014
Soulbringer,70,2000
Obscure,63,2005
Obscure II (Obscure: The Aftermath),59,2008
resident evil 4 / biohazard 4,79,2014
Thief,70,2014
Line Of Defense Tactics - Tactical Advantage,47,2014
Tower of Guns,76,2014
STRIDER™ / ストライダー飛竜®,78,2014
99 Levels To Hell,66,2014
Drunken Robot Pornography,66,2014
Journal,59,2014
FINAL FANTASY XIV Online,83,2014
FINAL FANTASY XIV Online Starter Edition,83,2013
Drox Operative,74,2012
MoonBase Commander,77,2002
Little Racers STREET,62,2014
Jazzpunk: Director's Cut,75,2014
Etherlords,77,2001
Etherlords II,78,2003
Loadout,72,2014
Might & Magic X - Legacy,70,2014
Original War,61,2001
Strike Vector,73,2014
Broken Age,73,2014
Blackguards,68,2014
Expansion - Europa Universalis IV: Conquest of Paradise,81,2014
The Banner Saga,80,2014
METAL GEAR RISING: REVENGEANCE,83,2014
Continue?9876543210,62,2014
Driftmoon,73,2013
UFO: Afterlight,71,2007
Dementium II HD,37,2013
Teslagrad,77,2013
Stick it to The Man!,83,2013
Violett Remastered,61,2013
Samurai Gunn,78,2013
NEO Scavenger,77,2014
Gomo,50,2013
Speedball 2 HD,53,2013
SteamWorld Dig,76,2013
Two Brothers,57,2013
Gas Guzzlers Extreme,73,2013
Redshirt,62,2013
Chivalry: Deadliest Warrior,69,2013
Deadfall Adventures,53,2013
X Rebirth,33,2013
Contrast,62,2013
Baldur's Gate II: Enhanced Edition,78,2013
Dungeonland,67,2013
Neighbours from Hell Compilation,69,2004
Final Exam,66,2013
Avadon 2: The Corruption,82,2013
Valdis Story: Abyssal City,83,2013
Sniper Elite: Nazi Zombie Army 2,53,2013
Ragnarok Online,79,2003
Earth 2150 Trilogy,78,2000
Journey of a Roach,65,2013
Battle Worlds: Kronos,71,2013
Stronghold HD,81,2001
Stronghold Crusader HD,78,2002
Eldritch,77,2013
LEGO® Marvel™ Super Heroes,78,2013
Borderlands 2: Headhunter 1: Bloody Harvest,89,2013
Syder Arcade,76,2013
Defense Technica,63,2013
ENSLAVED™: Odyssey to the West™ Premium Edition,70,2013
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,80,2013
Batman™: Arkham Origins,74,2013
Nihilumbra,75,2013
Tetrobot and Co.,72,2013
Democracy 3,70,2013
Megabyte Punch,69,2013
Shadow Warrior,73,2013
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,84,2013
World War III: Black Gold,71,2001
World War II: Panzer Claws,61,2004
Septerra Core,72,1999
Rise of Venice,66,2013
The Inner World,72,2013
Arma Tactics,47,2013
Enclave,71,2003
Knock-knock,57,2013
Tactical Intervention,47,2013
Bionic Dues,71,2013
Air Conflicts: Vietnam,43,2013
Silent Storm Gold Edition,83,2004
Rise of Flight: Battle of Saint-Mihiel,77,2013
Rise of Flight: Birth of Warbirds,77,2013
Rise of Flight: Bloody April,77,2013
Rise of Flight: Ultimately the Best Fighter,77,2013
Rise of Flight: Furious Wings,77,2013
Rise of Flight United,77,2013
Rise of Flight: Legendary Bombers,77,2013
Amnesia: A Machine for Pigs,72,2013
Dominions 3: The Awakening,82,2013
Wizardry 8,85,2001
Arma 3,74,2013
Aarklash: Legacy,72,2013
Volgarr the Viking,76,2013
The Chaos Engine,40,2013
Memoria,79,2013
Total War™: ROME II - Emperor Edition,76,2013
Rayman® Legends,89,2013
Gone Home,86,2013
Brothers - A Tale of Two Sons,90,2013
The Bureau: XCOM Declassified,66,2013
Saints Row IV,86,2013
Divekick,73,2013
Skullgirls,83,2013
Spelunky,90,2013
"Papers, Please",85,2013
Guacamelee! Gold Edition,88,2013
Europa Universalis IV,87,2013
Guncraft,73,2013
Hammerwatch,72,2013
Teleglitch: Die More Edition,78,2013
Super Splatters,73,2013
Rogue Legacy,85,2013
Storm,63,2013
TrackMania² Stadium,77,2013
Fist Puncher,73,2013
Hexodius,47,2013
Joe Danger 2: The Movie,82,2013
The Night of the Rabbit,75,2013
Cubetractor,75,2013
Wargame: Airland Battle,80,2013
Expeditions: Conquistador,77,2013
The Swapper,87,2013
Rising Storm Game of the Year Edition,82,2013
Fallen Enchantress: Legendary Heroes,80,2013
The Incredible Adventures of Van Helsing,72,2013
Skyward Collapse,64,2013
Element4l,77,2013
Call of Juarez® Gunslinger,79,2013
Gunpoint,83,2013
GRID 2,80,2013
System Shock 2,92,1999
Thunder Wolves,69,2013
Anomaly 2,77,2013
Strike Suit Infinity,66,2013
FEZ,91,2013
Far Cry 3 - Blood Dragon,81,2013
Monaco: What's Yours Is Mine,83,2013
Kairo,76,2013
Dyad,80,2013
Anna - Extended Edition,75,2013
La-Mulana,80,2013
Starseed Pilgrim,83,2013
Sacred Citadel,61,2013
Age of Empires II HD,68,2013
ShootMania Storm,76,2013
Dungeon Hearts,73,2013
Cities in Motion 2,72,2013
Warframe,69,2013
BioShock Infinite,94,2013
Shattered Haven,59,2013
Weird Worlds: Return to Infinite Space,79,2013
Sword of the Stars: The Pit,68,2012
Sniper: Ghost Warrior 2,52,2013
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,85,2013
TrackMania² Canyon,81,2011
Star Conflict,75,2013
Sniper Elite: Nazi Zombie Army,62,2013
Armada 2526 Gold Edition,66,2013
Tomb Raider,86,2013
The Showdown Effect,67,2013
Kentucky Route Zero,81,2013
The Bridge,74,2013
The Banner Saga: Factions,67,2013
Brutal Legend,80,2013
Bientôt l'été,62,2013
Impire,45,2013
Proteus,80,2013
Sonic & All-Stars Racing Transformed,79,2013
Antichamber,82,2013
"10,000,000",67,2013
Expansion - Crusader Kings II: The Republic,81,2013
Euro Truck Simulator 2,79,2013
Baldur's Gate: Enhanced Edition,78,2013
The Journey Down: Chapter One,72,2013
Waking Mars,79,2012
Dishonored: Dunwall City Trials,75,2012
Sword of the Stars II: Enhanced Edition,65,2012
Karateka,48,2012
Far Cry 3,88,2012
Super Hexagon,88,2012
LEGO The Lord of the Rings,80,2012
Miner Wars 2081,52,2012
Little Inferno,68,2012
Scribblenauts Unlimited,75,2012
Hitman: Absolution™,79,2012
PlanetSide 2,84,2012
Assassin’s Creed® III,80,2012
Thomas Was Alone,77,2012
Clan of Champions,42,2012
Natural Selection 2,80,2012
Painkiller Hell & Damnation,64,2012
Pid,63,2012
Deadlight,78,2012
King's Bounty: Warriors of the North,74,2012
Lucius,59,2012
Chivalry: Medieval Warfare,79,2012
Mark of the Ninja,91,2012
Worms Revolution,73,2012
Of Orcs And Men,69,2012
Hell Yeah! Wrath of the Dead Rabbit,64,2012
McPixel,76,2012
Dishonored,91,2012
Half Minute Hero: Super Mega Neo Climax Ultimate Boy,75,2012
Sniper Elite V2 - The Neudorf Outpost Pack,66,2012
Dream Pinball 3D,61,2012
Torchlight II,88,2012
XCOM: Enemy Unknown,89,2012
Gateways,72,2012
Tryst,50,2012
FTL: Faster Than Light,84,2012
Borderlands 2,89,2012
Secret Files 3,67,2012
F1 2012™,80,2012
Home,69,2012
Shad'O,68,2012
I Am Alive,66,2012
DARK SOULS™: Prepare To Die™ Edition,85,2012
Tiny Troopers,57,2012
Jagged Alliance: Crossfire,63,2012
They Bleed Pixels,74,2012
Snapshot,74,2012
Galactic Civilizations® I: Ultimate Edition,83,2012
Tower Wars,59,2012
Tales From Space: Mutant Blobs Attack,83,2012
Check vs Mate,69,2012
Thirty Flights of Loving,88,2012
Cannon Fodder 3,49,2012
Symphony,75,2012
Deponia,74,2012
Rigonauts,60,2012
Unmechanical,74,2012
Transcripted,78,2012
Awesomenauts - the 2D moba,78,2012
Resonance,76,2012
Orcs Must Die! 2,83,2012
Prototype 2,76,2012
Blacklight: Retribution,75,2012
Endless Space® - Collection,77,2012
Tiny and Big: Grandpa's Leftovers,75,2012
SpellForce 2: Faith in Destiny,55,2012
Fray: Reloaded Edition,27,2012
Magic: The Gathering - Duels of the Planeswalkers 2013,77,2012
Game of Thrones,58,2012
Spec Ops: The Line,76,2012
Sins of a Solar Empire®: Rebellion,82,2012
Iron Front: Digital War Edition,55,2012
Conflict Desert Storm™,56,2002
Alan Wake's American Nightmare,73,2012
Thief™ II: The Metal Age,87,2000
Batman: Arkham City - Game of the Year Edition,91,2012
Thief™ Gold,92,1998
Botanicula,82,2012
Nexuiz,54,2012
Street Fighter X Tekken,79,2012
Offspring Fling!,79,2012
The Dream Machine: Chapter 1 & 2,75,2012
Sonic the Hedgehog 4 - Episode II,54,2012
MacGuffin's Curse,73,2012
Blades of Time,63,2012
Lone Survivor: The Director's Cut,81,2012
The Walking Dead,82,2012
Fireburst,59,2012
A Valley Without Wind,54,2012
Noitu Love 2: Devolution,80,2012
Warlock - Master of the Arcane,71,2012
Naval War: Arctic Circle,64,2012
Legend of Grimrock,82,2012
Stellar Impact,74,2012
Avernum: Escape From the Pit,76,2012
Men of War: Condemned Heroes,57,2012
The Witcher 2: Assassins of Kings Enhanced Edition,88,2011
Insanely Twisted Shadow Planet,76,2012
Deep Black: Reloaded,39,2012
Super MNC,76,2012
Sniper Elite V2,66,2012
Mount & Blade: Warband - Napoleonic Wars,83,2012
Fallen Earth Free2Play,71,2011
Wargame: European Escalation,81,2012
Stronghold Kingdoms,75,2012
Shank 2,72,2012
The Blackwell Legacy,80,2012
Blackwell Deception,73,2012
Evochron Mercenary,70,2012
Kingdoms of Amalur: Reckoning™,81,2012
Unstoppable Gorg,73,2012
The Darkness II,77,2012
Crusader Kings Complete,73,2012
SOL: Exodus,57,2012
Age of Empires® III: Complete Collection,81,2009
LEGO Harry Potter: Years 5-7,80,2012
Choplifter HD,65,2012
EverQuest® II Free-To-Play. Your Way.™,83,2011
Sideway™ New York,71,2011
Saints Row: The Third,84,2011
Gemini Rue,82,2011
Global Ops: Commando Libya,37,2011
Renegade Ops,76,2011
Ignite,59,2011
Bloodline Champions,79,2011
Take On Helicopters,70,2011
inMomentum,59,2011
Lord of the Rings: War in the North,66,2011
Dungeon Defenders,81,2011
Worms Blast,73,2002
PAYDAY™ The Heist,76,2011
Steel Storm: Burning Retribution,55,2011
RAGE,79,2011
Orcs Must Die!,83,2011
Might & Magic: Clash of Heroes,76,2011
Nuclear Dawn,71,2011
Dungeons - The Dark Lord,72,2011
Worms Ultimate Mayhem,66,2011
King Arthur: Fallen Champions,54,2011
Xotic,67,2011
F1 2011,83,2011
Bastion,86,2011
From Dust,76,2011
Avadon: The Black Fortress,75,2011
Chantelise - A Tale of Two Sisters,62,2011
Supreme Ruler: Cold War,63,2011
LIMBO,88,2011
Kohan: Ahriman's Gift,79,2001
Kohan: Immortal Sovereigns,87,2001
Kohan II: Kings of War,81,2004
Cossacks: European Wars,74,2001
Post Mortem,71,2002
American Conquest: Fight Back,66,2003
Robin Hood: The Legend of Sherwood,80,2002
American Conquest,76,2003
Cossacks: Art of War,74,2002
Cossacks II: Napoleonic Wars,73,2005
Cossacks II: Battle for Europe,69,2006
Achron,54,2011
Quake IV,81,2005
Trauma,62,2011
Critical Mass,81,2011
Cthulhu Saves the World,78,2011
Dungeons of Dredmor,79,2011
Trapped Dead,50,2011
Operation Flashpoint: Red River,67,2011
Red Faction®: Armageddon™,75,2011
Pride of Nations,70,2011
Jamestown,81,2011
Vertex Dispenser,70,2011
Runaway: A Twist of Fate,79,2011
The Next BIG Thing,75,2011
Hector: Badge of Carnage - Full Series,75,2011
Yar's Revenge,56,2011
Capsized,80,2011
Universe Sandbox,83,2011
Mount & Blade: With Fire & Sword,68,2011
Section 8®: Prejudice™,77,2011
The Tiny Bang Story,63,2011
Garshasp: The Monster Slayer,49,2011
Hydrophobia: Prophecy,64,2011
Lume,69,2011
Terraria,83,2011
BRINK,70,2011
Duels of the Planeswalkers Gold Deck Bundle,69,2011
Syberia II,80,2004
Syberia,82,2002
Naval Warfare,57,2011
Hearts of Iron III Semper Fi: Dies Irae Götterdämmerung,65,2011
Fortix 2,74,2011
NightSky,78,2011
SpaceChem,84,2011
The Settlers 7: Paths to a Kingdom: Deluxe Gold Edition,79,2011
Atom Zombie Smasher,75,2011
Post Apocalyptic Mayhem,44,2011
Revenge of the Titans,79,2011
Assassin’s Creed® Brotherhood,88,2011
LEGO® Star Wars™ III - The Clone Wars™,76,2011
Theatre of War 3: Korea,49,2011
Shift 2 Unleashed,84,2011
HOARD,65,2011
Dungeon Siege,86,2002
Cities in Motion,70,2011
Men of War: Assault Squad,77,2011
CreaVures,55,2011
Painkiller Redemption,43,2011
Magicka,74,2011
Europa Universalis III: Divine Wind,71,2011
Bejeweled® 3,82,2010
RUSH,73,2010
Greed Corp,76,2010
Need For Speed: Hot Pursuit,86,2010
EVE Online,88,2003
Battlefield: Bad Company 2 Vietnam,86,2010
The UnderGarden,67,2010
Alien Breed 3: Descent,64,2010
Depths of Peril,79,2007
DeathSpank: Thongs of Virtue,78,2010
nail'd,69,2010
Dragon Age: Origins - Ultimate Edition,91,2010
Grand Theft Auto IV: Complete Edition,90,2010
Blood Bowl® Legendary Edition,73,2010
Bloody Good Time,73,2010
ArcaniA,63,2010
Dead Rising® 2,78,2010
Lost Horizon,77,2010
Front Mission Evolved,63,2010
Lara Croft and the Guardian of Light,82,2010
Borderlands: Claptrap's Robot Revolution,69,2010
Aura: Fate of the Ages,63,2004
Commander: Conquest of the Americas,68,2010
Alter Ego,59,2010
realMYST,66,1993
Sword of the Stars: Complete Collection,75,2008
Riven: The Sequel to MYST,83,1997
Hearts of Iron III: Semper Fi,65,2010
Prince of Persia: The Forgotten Sands™,75,2010
Jolly Rover,71,2010
Sniper: Ghost Warrior,55,2010
The Guild II,61,2006
The Guild II - Pirates of the European Seas,63,2007
Puzzle Dimension,79,2010
Rig n Roll,61,2010
Theatre of War 2: Africa 1943,63,2009
Theatre of War,66,2007
Reign: Conflict of Nations,60,2010
Day of Defeat: Source,80,2010
Blacklight: Tango Down,65,2010
Chaser,66,2003
LEGO Harry Potter: Years 1-4,79,2010
Arma 2: Operation Arrowhead,73,2010
Singularity™,76,2010
F.E.A.R.,88,2005
Tropico 3: Absolute Power,79,2010
Napoleon: Total War™,81,2010
Borderlands: The Secret Armory of General Knoxx,86,2010
Dawn of Discovery™: Venice,78,1999
Napoleon: Total War™ Imperial Edition,81,2010
Battlefield: Bad Company™ 2,87,2010
Supreme Commander 2,77,2010
Sonic & SEGA All-Stars Racing,65,2010
Assassin's Creed 2 Deluxe Edition,86,2010
Just Cause 2,84,2010
"Warhammer® 40,000: Dawn of War® II Chaos Rising",85,2010
Shatter,84,2010
Dragon Age™: Origins Awakening,82,2010
Command & Conquer 4: Tiberian Twilight,64,2010
Dark Fall: Lost Souls,75,2010
Tom Clancy's Splinter Cell Conviction™ Deluxe Edition,83,2010
Flotilla,72,2010
Sol Survivor,75,2010
Sherlock Holmes versus Jack the Ripper,73,2009
Nancy Drew®: Warnings at Waverly Academy,76,2010
Dark Void™,57,2010
Bob Came in Pieces,73,2010
Mass Effect 2,94,2010
Hotel Giant 2,58,2010
Mass Effect 2 Digital Deluxe Edition,94,2010
Toki Tori,80,2010
Aliens vs. Predator™,68,2010
BioShock® 2,88,2010
Lost Planet: Extreme Condition Colonies Edition,70,2010
S.T.A.L.K.E.R.: Call of Pripyat,80,2010
Galcon Fusion,68,2010
Left 4 Dead 2,89,2009
Gyromancer,71,2009
Ninja Blade,61,2009
Rogue Warrior,29,2009
King's Bounty: Armored Princess,82,2009
Broken Sword 3 - the Sleeping Dragon,82,2003
Gothic® 3,63,2006
Altitude,79,2009
Borderlands: The Zombie Island of Dr. Ned,84,2009
Nancy Drew®: The Haunted Carousel,85,2003
Nancy Drew®: Last Train to Blue Moon Canyon,77,2005
Nancy Drew®: Danger by Design,70,2006
Nancy Drew®: Secret of the Old Clock,80,2005
Nancy Drew®: Curse of Blackmoor Manor,81,2004
Nancy Drew®: Danger on Deception Island,81,2003
AI War: Fleet Command,80,2009
Elven Legacy: Ranger,68,2009
Borderlands,81,2009
Operation Flashpoint: Dragon Rising,76,2009
STAR WARS™: The Clone Wars - Republic Heroes™,46,2009
Lucidity™,59,2009
Tropico 3,79,2009
Red Faction Guerrilla Steam Edition,82,2009
Resident Evil™ 5/ Biohazard 5®,86,2009
Zuma's Revenge!,78,2009
STAR WARS™ Jedi Knight: Dark Forces II,91,1997
STAR WARS™ Jedi Knight II - Jedi Outcast™,89,2003
STAR WARS™ Jedi Knight - Jedi Academy™,81,2003
Twin Sector,49,2009
Majesty 2,72,2009
Madballs in Babo:Invasion,79,2009
AaAaAA!!! - A Reckless Disregard for Gravity,81,2009
Quantz,67,2009
MDK 2,83,2000
Red Faction,78,2001
Sherlock Holmes: The Mystery of the Mummy,61,2008
Sherlock Holmes: The Silver Earring,68,2004
Sherlock Holmes: The Awakened - Remastered Edition,72,2008
Red Faction II,64,2003
Hearts of Iron III,77,2009
Batman: Arkham Asylum Game of the Year Edition,91,2010
Death to Spies: Moment of Truth,73,2009
Emerald City Confidential™,71,2009
Mata Hari,63,2008
Nikopol: Secrets of the Immortals,68,2008
East India Company,67,2009
Sniper Elite,76,2005
Order of War™,69,2009
"Nancy Drew® Dossier: Lights, Camera, Curses!",0,2008
Nancy Drew®: The Haunting of Castle Malloy,81,2009
STAR WARS™ Starfighter™,71,2002
STAR WARS™ Republic Commando™,78,2005
Supreme Ruler 2020 Gold,65,2008
Delta Force: Task Force Dagger,51,2002
Comanche 4,74,2001
Delta Force Land Warrior,74,2000
Delta Force — Black Hawk Down: Team Sabre,0,2004
Delta Force: Black Hawk Down,77,2003
Delta Force: Xtreme,65,2005
Chronicles of Mystery: The Scorpio Ritual,62,2008
Delta Force Xtreme 2,0,2009
Evil Genius,75,2004
SPORE™ Galactic Adventures,70,2009
Arma 2,77,2009
Trine Enchanted Edition,80,2009
Overlord II,79,2009
Dawn of Discovery™,82,2009
Ankh 3: Battle of the Gods,0,2009
Crayon Physics Deluxe,79,2009
Men of War™,80,2009
Tunnel Rats,30,2009
Killing Floor,72,2009
NecroVision,63,2009
Damnation,41,2009
Restaurant Empire II,64,2009
Battlestations Pacific,74,2009
Velvet Assassin,61,2009
Plants vs. Zombies GOTY Edition,87,2009
Legend - Hand of God,57,2008
Dark Sector,66,2009
And Yet It Moves,75,2009
Judge Dredd: Dredd vs. Death,55,2005
Elven Legacy,71,2009
Company of Heroes: Tales of Valor,70,2009
Flock!,65,2009
Braid,90,2009
Raycatcher,0,2009
Amazing Adventures Around the World,0,2008
Drug Wars,35,2009
The Path,79,2009
Mevo and The Grooveriders,0,2009
Eschalon: Book I,75,2007
Spectromancer,0,2008
Hospital Tycoon,51,2007
Perimeter 2: New Earth,43,2009
Tom Clancy's Splinter Cell Double Agent®,80,2006
Maelstrom: The Battle for Earth Begins,58,2007
Driver® Parallel Lines,61,2007
Europa Universalis: Rome - Gold Edition,79,2008
"Warhammer 40,000: Dawn of War II",85,2009
Empire: Total War™,90,2009
Dangerous High School Girls in Trouble!™,81,2008
Puzzle Quest: Galactrix,72,2009
SlamIt Pinball Big Score,0,2009
Tom Clancy's EndWar™,68,2009
The Last Remnant™,66,2009
Grand Ages: Rome,72,2009
Hearts of Iron 2 Complete,83,2006
Penumbra: Black Plague Gold Edition,78,2009
Monster Trucks Nitro,0,2009
Europa Universalis III Complete,83,2007
Fallout 3,91,2008
Exodus from the Earth,0,2008
Samantha Swift and the Hidden Roses of Athena,0,2008
Starscape,0,2003
Mount & Blade,72,2008
Silent Hill Homecoming,64,2008
"Precipice of Darkness, Episode Two",0,2008
Mr. Robot,83,2007
Pyroblazer®,0,2008
7 Wonders: Treasures of Seven,0,2008
Left 4 Dead,89,2008
Call of Duty: World at War,83,2008
Bejeweled Twist,78,2008
Mosby's Confederacy,0,2008
Tomb Raider: Underworld,80,2008
Prince of Persia: The Two Thrones™,85,2005
Prince of Persia: Warrior Within™,83,2004
Prince of Persia®: The Sands of Time,89,2003
Crazy Machines,78,2005
Prince of Persia®,82,2008
Crazy Machines 1.5,78,2005
Aquaria,82,2007
Need for Speed Undercover,65,2008
Penguins Arena: Sedna's World,0,2008
Strong Bad's Cool Game for Attractive People: Season 1,82,2008
Mass Effect,89,2008
SPORE™ Creepy & Cute Parts Pack,0,2008
SPORE™,84,2008
Imperium Romanum Gold Edition,63,2008
Project Aftermath,0,2008
Crazy Machines 2,72,2008
Pacific Storm,67,2006
Insecticide Part 1,65,2008
Jack Keane,69,2008
Sacred Gold,74,2006
Children of the Nile: Enhanced Edition,75,2008
Tom Clancy's Ghost Recon® Desert Siege™,82,2002
Tom Clancy's Ghost Recon®,80,2001
Tom Clancy's Ghost Recon® Island Thunder™,82,2002
Planet Busters,0,2008
Silverfall: Earth Awakening,0,2008
The Settlers®: Heritage of Kings,58,2005
Discovery! A Seek and Find Adventure,0,2008
TrackMania Nations Forever,0,2008
Assassin's Creed™: Director's Cut Edition,79,2008
Tom Clancy's Rainbow Six® Vegas 2,78,2008
Trackmania United Forever Star Edition,80,2008
LUMINES™,74,2008
Portal,90,2007
Cold Fear™,66,2005
Tom Clancy's Rainbow Six Lockdown™,59,2006
Heroes of Might & Magic V,77,2006
Brothers in Arms: Road to Hill 30™,87,2005
Sam & Max 203: Night of the Raving Dead,79,2008
Sam & Max 205: What&#146;s New Beelzebub?,0,2008
Sam & Max 202: Moai Better Blues,80,2008
Sam & Max 201: Ice Station Santa,82,2007
Sam & Max: Season Two,82,2008
Sam & Max 204: Chariots of the Dogs,85,2008
"Precipice of Darkness, Episode One",0,2008
Trials 2: Second Edition,0,2008
Darkstar One,71,2006
Shadowgrounds Survivor,79,2007
Frontlines™: Fuel of War™,73,2008
The Club™,67,2008
Safecracker: The Ultimate Puzzle Adventure,69,2006
RACE 07,83,2007
Nexus - The Jupiter Incident,77,2004
Full Spectrum Warrior: Ten Hammers,70,2006
Full Spectrum Warrior,80,2004
Civilization IV: Beyond the Sword,86,2007
Company of Heroes - Legacy Edition,93,2006
Gish,80,2004
DOOM 3,87,2004
DOOM 3 Resurrection of Evil,78,2005
QUAKE III: Team Arena,69,2000
Team Fortress 2,92,2007
Half-Life 2: Episode Two,90,2007
Painkiller Overdose,65,2007
Alpha Prime,59,2007
Loki,61,2007
Call of Juarez™,72,2007
Medieval II: Total War™ Kingdoms,85,2007
Call of Duty® 4: Modern Warfare®,92,2007
Kane and Lynch: Dead Men™,67,2007
Geometry Wars: Retro Evolved,76,2007
Commandos 3: Destination Berlin,72,2003
Just Cause,75,2006
Hitman: Codename 47,73,2000
Hitman 2: Silent Assassin,87,2002
Battlestations: Midway,76,2007
Commandos 2: Men of Courage,87,2002
Hitman: Blood Money,82,2006
Vampire: The Masquerade - Bloodlines,80,2004
S.T.A.L.K.E.R.: Shadow of Chernobyl,82,2007
Joint Task Force,68,2006
Thief: Deadly Shadows,85,2004
Deus Ex: Game of the Year Edition,90,2000
Deus Ex: Invisible War,80,2004
Rogue Trooper,69,2006
Project: Snowblind,76,2005
Jade Empire™: Special Edition,81,2007
Silverfall,62,2007
Making History: The Calm & the Storm,70,2007
"Runaway, A Road Adventure",74,2003
"Runaway, The Dream of The Turtle",0,2007
Call of Duty®,91,2003
Psychonauts,87,2005
GUN™,76,2005
Call of Duty® 2,86,2005
Call of Duty: United Offensive,87,2004
Space Empires V,68,2006
Sid Meier's Civilization® III Complete,90,2001
Shattered Union,67,2005
Sid Meier's Civilization® IV,94,2005
Sub Command,84,2001
BloodRayne 2,67,2005
RoboBlitz,80,2006
Medieval II: Total War™,88,2006
Heroes of Annihilated Empires,65,2006
Project Earth,67,2017
